upt_table_name,SUM(total_telemetry)
socket_events,149592363242.0
dns_lookup_events,138090584165.0
process_events,118317442367.0
process_open_sockets,113090260334.0
http_events,80159624785.0
process_file_events,58164076035.0
process_action_events,23997325606.0
process_envs,23470867310.0
windows_events,21135044105.0
process_open_files,20548776212.0
user_events,16505315810.0
ebpf_dns_lookup_events,16290259085.0
diag_watcher_stats,14730936979.0
wmi_query_events,12711019665.0
process_cpu,12500801222.0
zerotrust_checks,9738543216.0
aws_cloudtrail_events_presto_table,8291395934.0
containerd_events,6558416635.0
prefetch_process_modules,4973945029.0
vulnerabilities,4219605646.0
registry_events,3964710241.0
image_load_events,3265511248.0
upt_events_data,3258723974.0
docker_events,3229855327.0
syscall_hook_events,2800869750.0
processes,2668766162.0
upt_events_data_parquet,2635637711.0
upt_querypacks,1873836167.0
syslog_events,1348830585.0
last,1101971966.0
aws_iam_permission_presto_table,1009354844.0
syscall_events,321375347.0
usrcall_events,270952190.0
logon_events,259884315.0
gcp_cloud_log_events,201312632.0
cpu_time,198656503.0
aws_iam_cross_account_assume_role_events,170659280.0
upt_cloud_compliance_audit_presto_table,139674415.0
kubernetes_events,88627519.0
registry,78360159.0
etc_services,58138502.0
upt_api_audit_outbound_logs,57448072.0
process_open_pipes,49486921.0
mounts,41779362.0
smc_keys,28067563.0
load_average,25272122.0
powershell_events,15290102.0
osquery_events,14323159.0
upt_api_audit_logs,14258186.0
aws_vpc_flow_log_events_presto_table,12357151.0
aws_ec2_vpc_endpoint_service_presto_table,7682534.0
agentless_remote_logs,4805612.0
aws_kms_key_grant_presto_table,3690710.0
cloudquery_ops_events,3585619.0
preferences,3240513.0
azure_policy_metadata,2635670.0
file_events,2629277.0
top,2553662.0
agentless_resource_logs,666977.0
wifi_survey,596403.0
gcp_compute_vpc_peering_route,552639.0
firefox_url_history,376531.0
chrome_url_history,308484.0
aws_workspaces_bundle_presto_table,295038.0
gcp_bigquery_table,265031.0
azure_policy_definition,210016.0
processes_hash,176204.0
file_secret_matches,152393.0
aws_securityhub_standard_control_presto_table,152014.0
image_packages,151154.0
aws_securityhub_finding_events_presto_table,146670.0
aws_config_rule_presto_table,139635.0
aws_ecr_image_presto_table,131955.0
network_top,130469.0
azure_active_directory_user,130289.0
java_packages,127894.0
npm_packages,119102.0
azure_active_directory_service_principal,117886.0
aws_ssm_managed_instance_compliance_item_presto_table,75100.0
aws_ssm_managed_instance_patch_presto_table,74714.0
azure_policy_compliance_state,67084.0
iokit_registry,66031.0
aws_securityhub_product_policy_presto_table,57930.0
osquery_schedule,52628.0
aws_securityhub_product_presto_table,48670.0
azure_active_directory_role_assignment,40182.0
aws_ec2_security_group_rule_presto_table,38702.0
query_job_audit_logs,36388.0
system_controls,30448.0
ask_uptycs_audit_logs,29262.0
aws_ssm_managed_instance_command_presto_table,26619.0
compliance,25308.0
azure_rbac_role_definition,24513.0
aws_ec2_security_group_permission_presto_table,24090.0
kubernetes_nodes,22191.0
deb_packages,20237.0
python_packages,18750.0
shimcache,18632.0
gcp_container_cluster_server_config,18480.0
upt_aws_cloud_app_scan,17503.0
osquery_flags,16808.0
azure_active_directory_application,16352.0
azure_active_directory_role_definition,14950.0
aws_cloudwatch_log_group_presto_table,14820.0
azure_network_service_tag,14027.0
osquery_registry,12910.0
winbaseobj,12020.0
kubernetes_config_maps,10072.0
aws_ec2_security_group_presto_table,8556.0
aws_ec2_subnet_presto_table,8339.0
api_events,7483.0
aws_kms_key_alias_presto_table,3296.0
resource_monitor_events,3286.0
certificates,3272.0
aws_ec2_managed_prefix_list_presto_table,2478.0
kubernetes_pod_volumes,2355.0
kubernetes_cluster_role_policy_rules,2058.0
aws_securityhub_standard_presto_table,1632.0
upt_presto_slow_queries,857.0
azure_securitycenter_subscription_pricing,495.0
startup_items,467.0
osquery_memory,300.0
rpc_events,190.0
azure_securitycenter_setting,165.0
upt_osquery_diagnostic_logs,127.0
userassist,126.0
network_events,107.0
memory_info,2.0
presto_query_logs,
upt_asset_activity,
upt_package_vulnerabilities,
upt_asset_locations,
